species,body_size_hbw,for_str_hbw,for_str_hbw_n,diet_hbw,diet_hbw_n,sensit_stotz
Cacicus chrysopterus,20.7,midlevel,4,arthropods_vert_fruits,4,2
Caryothraustes brasiliensis,17.75,midlevel_canopy,5,arthropods_fruits,2,2
Chiroxiphia caudata,14.75,midlevel_canopy,5,arthropods_fruits,2,1
Conopophaga lineata,12.75,ground_understorey,1,arthropods_fruits,2,2
Conopophaga melanops,11.25,ground_understorey,1,arthropods,1,3
Dendrocolaptes platyrostris,26,midlevel_canopy,5,arthropods_vert,3,2
Eleoscytalopus indigoticus,11,ground_understorey,1,arthropods,1,2
Eleoscytalopus psychopompus,11,ground_understorey,1,arthropods,1,2
Hemithraupis flavicollis,13,midlevel_canopy,5,arthropods_fruits,2,1
Hemitriccus diops,11,understorey,2,arthropods,1,2
Microspingus,15,understorey,2,arthropods_fruits,2,2
Microspingus cabanisi,15,understorey,2,arthropods_fruits,2,2
Microspingus lateralis,15,understorey,2,arthropods_fruits,2,2
Mionectes rufiventris,13.5,understorey,2,arthropods_fruits,2,2
Myiothlypis leucoblephara,14.5,ground_understorey,1,arthropods,1,2
Myrmeciza squamosa,14.5,ground_understorey,1,arthropods,1,2
Myrmeciza loricata,14.5,ground_understorey,1,arthropods,1,2
Phylloscartes ventralis,12,midlevel,4,arthropods,1,2
Picumnus exilis,9.5,midlevel,4,arthropods,1,1
Platyrinchus mystaceus,9.5,understorey,2,arthropods,1,3
Poecilotriccus plumbeiceps,9.5,understorey,2,arthropods,1,2
Pseudopipra pipra,10.15,midlevel_canopy,5,fruits,5,3
Pyriglena atra,17,understorey,2,arthropods_vert,3,2
Pyriglena leucoptera,17,understorey,2,arthropods_vert,3,2
Rhopias gularis,9,understorey,2,arthropods,1,2
Schiffornis virescens,15.5,understorey,2,arthropods,1,2
Sclerurus cearensis,18.85,ground_understorey,1,arthropods,1,3
Sclerurus scansor,18.8,ground_understorey,1,arthropods,1,3
Scytalopus diamantinensis,10.5,ground_understorey,1,arthropods,1,2
Scytalopus iraiensis,10.5,ground_understorey,1,arthropods,1,2
Scytalopus novacapitalis,11,ground_understorey,1,arthropods,1,3
Scytalopus pachecoi,12,ground_understorey,1,arthropods,1,2
Scytalopus petrophilus,10.5,ground_understorey,1,arthropods,1,2
Scytalopus speluncae,10.5,ground_understorey,1,arthropods,1,2
Synallaxis cinerea,16,understorey,2,arthropods,1,2
Synallaxis infuscata,17,understorey,2,arthropods,1,2
Synallaxis ruficapilla,13.7,understorey_midlevel,3,arthropods,1,2
Syndactyla rufosuperciliata,17.5,understorey_midlevel,3,arthropods,1,2
Tachyphonus coronatus,16,midlevel,4,arthropods_fruits,2,1
Tangara cyanocephala,11.5,midlevel_canopy,5,arthropods_fruits,2,2
Thalurania glaucopis,9.5,understorey_midlevel,3,nectar,6,2
Thamnophilus caerulescens,15,understorey_midlevel,3,arthropods_fruits,2,1
Trichothraupis melanops,16,understorey,2,arthropods_fruits,2,2
Xiphorhynchus atlanticus,16.75,midlevel_canopy,5,arthropods,1,3
Xiphorhynchus fuscus,16.75,midlevel_canopy,5,arthropods,1,3